customer_id,name,monthly_revenue,tenure_months,nps_score,support_tickets,days_since_login,usage_score,churn_risk_score
C001,Acme Corp,15000,24,8,1,5,0.92,0.12
C002,Beta LLC,4500,8,6,3,12,0.78,0.38
C003,Gamma Inc,1200,36,9,0,2,0.95,0.05
C004,Delta Co,8500,14,4,8,62,0.35,0.81
C005,Epsilon Ltd,2200,6,5,12,95,0.18,0.94
C006,Zeta Corp,22000,48,9,0,1,0.98,0.03
C007,Eta Systems,750,3,3,15,110,0.12,0.97
C008,Theta Inc,6700,18,7,2,8,0.88,0.22
C009,Iota Co,3400,11,6,4,30,0.65,0.48
C010,Kappa Ltd,18500,30,8,1,3,0.93,0.09
C011,Lambda Corp,900,4,2,18,145,0.08,0.99
C012,Mu Systems,5600,22,7,3,11,0.82,0.28
C013,Nu Inc,12000,15,8,2,7,0.89,0.15
C014,Xi Co,4100,9,5,9,78,0.28,0.87
C015,Omicron Ltd,3800,19,6,5,42,0.55,0.62
